"Date","MaxT","MinT","Precip","Snow"
"2003-01",34.5,-2.6,NA,NA
"2003-02",39.5,4.7,0.57,16.4
"2003-03",44.5,18.8,0.03,2.5
"2003-04",59.7,24.6,NA,NA
"2003-05",66.5,33.1,1,NA
"2003-06",77,40.4,0.6,0
"2003-07",89,52,0.12,0
"2003-08",82.2,49.2,1.59,0
"2003-09",70.9,37.7,2.41,0
"2003-10",66.9,29.9,0.62,0
"2003-11",42.5,20.1,1.72,0.3
"2003-12",34.3,9.2,0.14,3.8
"2004-01",19.5,-8.1,0.3,0.2
"2004-02",27.8,-0.5,0.6,4.7
"2004-03",51.2,20.4,0.01,0
"2004-04",57.9,30.2,0.44,2
"2004-05",70,34.5,0.03,0
"2004-06",78.2,39.1,0.44,0
"2004-07",82,46.7,1.33,0
"2004-08",78.7,42.9,0.39,0
"2004-09",71.5,37,0.91,0
"2004-10",58.6,28.8,4.39,2
"2004-11",46.9,21.4,0.67,5.2
"2004-12",26.7,1.6,0.2,4.1
"2005-01",30,6.1,1.43,14
"2005-02",33.3,6.3,0.9,7.5
"2005-03",42.8,17.1,0.21,2.1
"2005-04",57.8,22.3,0.07,NA
"2005-05",66.6,35.2,0.29,0
"2005-06",75,38.9,0.28,0
"2005-07",86.7,45.8,0.66,0
"2005-08",79.4,46.3,2.01,0
"2005-09",73.8,39.1,1.39,0
"2005-10",62.8,31.9,1.19,0
"2005-11",47.6,19.7,0.44,5.5
"2005-12",21.8,-2.7,1.15,20.6
"2006-01",22.5,-5.7,1.19,15.9
"2006-02",24.9,-6.6,0.47,8.1
"2006-03",41.6,15.5,0.42,5.8
"2006-04",60.6,24.8,0.36,1
"2006-05",71.1,32.5,0.46,0
"2006-06",80.9,39.8,0,0
"2006-07",84.3,50,1.37,0
"2006-08",79.8,48.5,1.26,0
"2006-09",68.1,35.3,1.21,0
"2006-10",56,29.7,1.93,1
"2006-11",44.8,16.4,0.7,6.7
"2006-12",34,10.5,0.28,6.1
"2007-01",28.5,-3.6,0.29,6.4
"2007-02",38.9,11.9,0.68,7
"2007-03",50.6,18.9,0.16,1
"2007-04",58.6,27.1,0.94,1.1
"2007-05",67.2,33.5,0.85,0
"2007-06",80.5,40.2,0.36,0
"2007-07",85.4,50.5,1.72,0
"2007-08",83,50.2,1.33,0
"2007-09",74.6,40.3,1.38,0
"2007-10",61.7,27.9,0.7,0.6
"2007-11",51.6,16.2,0.05,0.1
"2007-12",22.5,3,2.92,17.3
"2008-01",13.4,-11.8,2.8,32.9
"2008-02",24.4,-1.5,0.98,25.9
"2008-03",33.6,4,1.03,9.5
"2008-04",50.2,21.1,0.59,4.1
"2008-05",65,31.2,0.6,NA
"2008-06",77,38.3,0.19,0
"2008-07",83.4,46.7,1.22,0
"2008-08",81.8,46.6,0.75,0
"2008-09",73.6,36.7,1.7,0
"2008-10",62.9,27.2,0.16,0
"2008-11",47.5,20.8,0.4,4.2
"2008-12",28.5,9.2,1.8,32.8
"2009-01",25.8,3.7,0.27,2.9
"2009-02",33.4,8.7,0.6,8
"2009-03",46.1,18.1,0.72,10
"2009-04",54.8,25.5,0.87,12
"2009-05",69.8,39,1.22,0
"2009-06",72.3,41,1.08,0
"2009-07",83,44.9,0.84,0
"2009-08",81,41.8,0.49,0
"2009-09",74.8,37.3,0.21,0
"2009-10",55.5,26.1,0.71,0
"2009-11",48.3,14.8,0.13,0.9
"2009-12",24.6,-1.8,0.64,11.5
"2010-01",28.2,-2.2,0.22,4.8
"2010-02",28.8,1.2,0.83,3.7
"2010-03",41.3,8.7,0.6,6.1
"2010-04",58.1,25.1,0.91,4.5
"2010-05",65,30.9,0.45,NA
"2010-06",78.8,39.9,0.24,0
"2010-07",86,47.8,0.36,0
"2010-08",79.3,46.6,2.19,0
"2010-09",76.9,35.8,0.8,0
"2010-10",61.9,30.8,0.79,1
"2010-11",42.2,14.1,0.21,3.1
"2010-12",38.3,17.5,0.55,0.6
"2011-01",23.3,-3.5,0.47,9.1
"2011-02",29,0,0.58,9.2
"2011-03",43,16.3,1.41,14.9
"2011-04",55.4,25.2,0.93,1.9
"2011-05",61.8,30.1,0.84,1.5
"2011-06",79.1,38.1,0.09,0
"2011-07",85,48.4,1.26,NA
"2011-08",84.4,47.5,0.75,NA
"2011-09",73.3,38.7,0.48,0
"2011-10",61.2,27,0.73,0.2
"2011-11",46.8,14.6,0.21,2.1
"2011-12",33.4,3.5,0.58,2.8
"2012-01",35.6,2.6,1.28,11.6
"2012-02",32.9,3.9,1.88,11.2
"2012-03",51.5,13.3,1.17,1.8
"2012-04",63.3,26,0.21,1.1
"2012-05",71.2,31.9,0.34,0
"2012-06",NA,NA,NA,NA
"2012-07",84.3,48.4,1.13,0
"2012-08",84,46.5,0.88,0
"2012-09",72.9,36.4,1.24,NA
"2012-10",62.1,26,0.14,0.5
"2012-11",50.5,13.6,0.21,0.7
"2012-12",29.6,4.1,0.82,11.6
"2013-01",18.4,-11.7,0.92,8.3
"2013-02",27.4,-5.2,0.48,5.1
"2013-03",43.1,11.7,0.26,3.3
"2013-04",53.1,23.8,0.62,5.3
"2013-05",65.3,31.6,0.74,NA
"2013-06",81.4,38.8,0.04,NA
"2013-07",84.3,50.8,1.55,0
"2013-08",79.7,46.8,1.43,0
"2013-09",72.5,41.6,2.93,0
"2013-10",55.8,25.3,0.29,0
"2013-11",44.8,18.2,0.32,2.2
"2013-12",22.3,-2.8,0.64,7.1
"2014-01",29.2,-0.5,0.57,6.4
"2014-02",31.4,7.8,1.41,13
"2014-03",42.6,15.4,0.16,2
"2014-04",54.4,23.9,NA,NA
"2014-05",63.7,31.8,0.24,0
"2014-06",76.7,37,0,0
"2014-07",83.4,46.9,0.38,0
"2014-08",77.4,45.3,1.24,0
"2014-09",74.1,40.5,0.97,0
"2014-10",61.5,29.2,NA,0
"2014-11",43.4,15.7,0.68,7.1
"2014-12",31.1,11,0.44,4.6
"2015-01",23.7,-1.6,0.24,2.3
"2015-02",37.7,11.5,0.7,7.5
"2015-03",49,17.2,0.2,8
"2015-04",57,23,0.15,5.1
"2015-05",61.2,34.1,0.85,0
"2015-06",78.3,40.8,0.25,0
"2015-07",77.6,46.3,0.45,0
"2015-08",79.6,46.3,0.53,0
"2015-09",74.3,38.5,0.4,0
"2015-10",63.3,33.3,1.1,0
"2015-11",43.6,17.6,0.36,3.5
"2015-12",27.3,5.6,1.03,15.9
"2016-01",15.6,-5.4,0.63,9
"2016-02",24.3,-2,0.13,2
"2016-03",46.8,20.2,0.31,6.8
"2016-04",56.1,25.3,0.45,2
"2016-05",NA,NA,NA,NA
"2016-06",81.7,40.2,0.06,0
"2016-07",81.3,44.3,0.14,0
"2016-08",76.3,44.9,2.09,0
"2016-09",71.6,37.1,0,0
"2016-10",64.2,28.2,NA,NA
"2016-11",NA,NA,NA,NA
"2016-12",27.6,3.9,1.44,13.2
"2017-01",NA,NA,NA,NA
"2017-02",34.5,13.5,0.68,2.8
"2017-03",45.7,18.7,0.29,1
"2017-04",55.8,24.3,0.26,0.2
"2017-05",65.4,30.5,1.02,1.5
"2017-06",80.6,39.4,0.05,NA
"2017-07",83.5,47.6,1.32,NA
"2017-08",79.4,44.4,1.89,NA
"2017-09",74,37.7,0.69,NA
"2017-10",63.3,27.7,0.67,0
"2017-11",51.2,22.2,0.66,0.6
"2017-12",41.2,9,0.32,2.9
"2018-01",34.9,4.5,0.49,6.6
"2018-02",38.2,13.1,1.2,13
"2018-03",47.7,16.8,0.08,0
"2018-04",57.9,26.6,0.22,0.5
"2018-05",70,32,0.16,0
"2018-06",82.1,40.7,0.3,0
"2018-07",87.2,49,0.52,0
"2018-08",83,44.8,0.45,0
"2018-09",75.9,37.8,0.29,0
"2018-10",58.2,28.3,0.9,1
"2018-11",39.6,9.1,0.2,3.5
"2018-12",25.1,-2.4,0.73,14.6
"2019-01",22.9,-4.5,0.84,21.9
"2019-02",21.1,-5.5,1.07,10.2
"2019-03",36.3,14.5,1.92,4.9
"2019-04",55.6,25.9,0.72,0
"2019-05",59.8,30.5,0.68,1
"2019-06",74.2,38.6,0.29,0
"2019-07",83.3,45.5,0.66,0
"2019-08",83,44.6,0.1,0
"2019-09",76.6,37.3,0.21,0
"2019-10",57.4,19.3,0.67,7.1
"2019-11",46,13.4,0.35,4.5
"2019-12",25.5,3.3,0.84,16
"2020-01",24.4,-0.4,1.12,13.2
"2020-02",31.3,3.8,0.4,3.9
"2020-03",46.4,19.8,0.47,5
"2020-04",58.5,24.3,0.11,0.5
"2020-05",72.1,32.4,0.28,0
"2020-06",80.5,41,0.09,0
"2020-07",83.6,46.2,1.04,0
"2020-08",86.6,46,0.53,0
"2020-09",74.3,36,0.88,2
"2020-10",65.5,26.1,0.3,4
"2020-11",45.8,17.9,0.9,4.1
"2020-12",25.8,0.1,1.03,15
"2021-01",26.2,-1.5,0.57,8.5
"2021-02",32.8,7,0.93,10
"2021-03",43.5,16.1,0.91,7
"2021-04",58,24.2,0.23,0
"2021-05",67.7,32.4,0.55,0
"2021-06",83,41.1,0.28,0
"2021-07",86.3,50.1,0.61,0
"2021-08",82,44.4,0.41,0
"2021-09",77.7,38,0.8,0
"2021-10",58.8,28.1,0.68,0.1
"2021-11",52,17.6,0.02,0
"2021-12",32.3,8.4,0.9,8.3
